127.0.0.1, 2016-01-04 14:02:00, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.228000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:02:00, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /evemetrics/default/index, HTTP/1.1, 500, 35.785000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/default/ticket/evemetrics/127.0.0.1.2016-01-04.14-04-56.a61f36a5-0ad9-4533-b832-d01c05ca7e6e, HTTP/1.1, 303, 0.071000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-01-04 14:05:32, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:05:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /evemetrics/default/index, HTTP/1.1, 500, 0.048000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/default/ticket/evemetrics/127.0.0.1.2016-01-04.14-06-28.2e70ecdf-0c75-4630-b2b5-e659ad354a9b, HTTP/1.1, 303, 0.039000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/default/index, HTTP/1.1, 200, 0.043000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:06:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-01-04 14:06:31, POST, /admin/default/index, HTTP/1.1, 303, 0.026000
127.0.0.1, 2016-01-04 14:06:31, GET, /admin/default/ticket/evemetrics/127.0.0.1.2016-01-04.14-06-28.2e70ecdf-0c75-4630-b2b5-e659ad354a9b, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-01-04 14:06:31, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:06:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /evemetrics/default/index, HTTP/1.1, 500, 35.748000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/default/ticket/evemetrics/127.0.0.1.2016-01-04.14-06-42.89cf3167-8a03-44e7-a0f2-a98b2b560a24, HTTP/1.1, 200, 0.257000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:07:18, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:07:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /evemetrics/default/index, HTTP/1.1, 500, 0.046000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/default/ticket/evemetrics/127.0.0.1.2016-01-04.14-09-42.70b29218-2437-4df7-ad0e-71a89481a817, HTTP/1.1, 200, 0.125000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:09:42, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:09:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-01-04 14:10:20, GET, /evemetrics/default/index, HTTP/1.1, 500, 0.025000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/default/ticket/evemetrics/127.0.0.1.2016-01-04.14-10-20.756157ac-6b99-4242-a87d-5e4d249fd177, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-01-04 14:10:20, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.001000
